FrcRobotBase.FirstSteamWorks_Info: Sun Apr 02 14:13:37 PDT 2017: ***** Starting autonomous *****
FrcRobotBase.CmdVisionGearDeploy_Info: dist=7.0, deployTime=0.3, backupDist=36.0
FrcRobotBase.CmdSideGearLift_Info: delay=0.000, alliance=RED_ALLIANCE, rightSide=false, forwardDist=85.0, liftAngle=60.0, backupDist=8.0, lsAngle=30.0, lsDist=320.0, diagDist=360.0
FrcRobotBase.Vision_Info: Front pixy is enabled!
FrcRobotBase.Robot_Info: [0.279]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.6(12.1)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.startCompetition_Warn: AUTO_MODE takes too long (0.309s)

FrcRobotBase.Robot_Info: [0.321] MOVE_FORWARD_ON_SIDE: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=12.6(12.1)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=12.6 (12.1)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.010/ 0.000/ 0.000/ 0.000, Output= 0.010(-0.500/0.500), Volt=11.0 (11.0)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.3, Error=  84.7, PIDTerms= 2.966/ 0.000/-0.086/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.0 (11.0)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.0 (11.0)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.006/ 0.000/-0.000/ 0.000, Output= 0.006(-0.500/0.500), Volt=10.8 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.6, Error=  84.4, PIDTerms= 2.955/ 0.000/-0.122/ 0.000, Output= 0.500(-0.500/0.500), Volt=10.8 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.002/ 0.000, Output=-0.003(-0.500/0.500), Volt=10.8 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.009/ 0.000/ 0.000/ 0.000, Output= 0.009(-0.500/0.500), Volt=10.8 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   0.9, Error=  84.1, PIDTerms= 2.942/ 0.000/-0.078/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.001/ 0.000, Output= 0.001(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.007/ 0.000/-0.000/ 0.000, Output= 0.007(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.4, Error=  83.6, PIDTerms= 2.927/ 0.000/-0.169/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.005/ 0.000/ 0.017/ 0.000, Output= 0.021(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.023/ 0.000/ 0.000/ 0.000, Output= 0.023(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   1.7, Error=  83.3, PIDTerms= 2.916/ 0.000/-0.138/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.007/ 0.000/ 0.012/ 0.000, Output= 0.019(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.009/ 0.000/-0.000/ 0.000, Output= 0.009(-0.500/0.500), Volt=11.0 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.0, Error=  83.0, PIDTerms= 2.906/ 0.000/-0.126/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.009/ 0.000/ 0.008/ 0.000, Output= 0.017(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.005/ 0.000/-0.000/ 0.000, Output= 0.005(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   2.4, Error=  82.6, PIDTerms= 2.890/ 0.000/-0.225/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.011/ 0.000/ 0.009/ 0.000, Output= 0.020(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.007/ 0.000/ 0.000/ 0.000, Output= 0.007(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.0, Error=  82.0, PIDTerms= 2.871/ 0.000/-0.261/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.015/ 0.000/ 0.018/ 0.000, Output= 0.033(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.027/ 0.000/ 0.000/ 0.000, Output= 0.027(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.4, Error=  81.6, PIDTerms= 2.855/ 0.000/-0.259/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.018/ 0.000/ 0.015/ 0.000, Output= 0.032(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.007/ 0.000/-0.000/ 0.000, Output= 0.007(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   3.6, Error=  81.4, PIDTerms= 2.850/ 0.000/-0.080/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.021/ 0.000/ 0.019/ 0.000, Output= 0.040(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.005/ 0.000/-0.000/ 0.000, Output= 0.005(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   4.2, Error=  80.8, PIDTerms= 2.828/ 0.000/-0.304/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.027/ 0.000/ 0.024/ 0.000, Output= 0.051(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   4.9, Error=  80.1, PIDTerms= 2.803/ 0.000/-0.329/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.1 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.027/ 0.000/ 0.000/ 0.000, Output= 0.027(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.022/ 0.000/ 0.000/ 0.000, Output= 0.022(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   5.5, Error=  79.5, PIDTerms= 2.784/ 0.000/-0.226/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.029/ 0.000/ 0.008/ 0.000, Output= 0.037(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.050/ 0.000/ 0.000/ 0.000, Output= 0.050(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   6.0, Error=  79.0, PIDTerms= 2.765/ 0.000/-0.264/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.028/ 0.000/-0.003/ 0.000, Output= 0.025(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   6.4, Error=  78.6, PIDTerms= 2.750/ 0.000/-0.254/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.027/ 0.000/-0.004/ 0.000, Output= 0.023(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.005/ 0.000/-0.000/ 0.000, Output=-0.005(-0.500/0.500), Volt=11.2 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   7.3, Error=  77.7, PIDTerms= 2.719/ 0.000/-0.426/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.2 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.027/ 0.000/-0.003/ 0.000, Output= 0.024(-0.500/0.500), Volt=11.2 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.002/ 0.000/ 0.000/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   8.2, Error=  76.8, PIDTerms= 2.690/ 0.000/-0.411/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.025/ 0.000/-0.009/ 0.000, Output= 0.016(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.026/ 0.000/ 0.000/ 0.000, Output= 0.026(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   8.8, Error=  76.2, PIDTerms= 2.666/ 0.000/-0.210/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.022/ 0.000/-0.008/ 0.000, Output= 0.014(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.002/ 0.000/-0.000/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  10.1, Error=  74.9, PIDTerms= 2.623/ 0.000/-0.347/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.018/ 0.000/-0.011/ 0.000, Output= 0.008(-0.500/0.500), Volt=11.3 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.009/ 0.000/-0.000/ 0.000, Output=-0.009(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  11.1, Error=  73.9, PIDTerms= 2.588/ 0.000/-0.329/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.014/ 0.000/-0.012/ 0.000, Output= 0.002(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.009/ 0.000/-0.000/ 0.000, Output=-0.009(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  12.1, Error=  72.9, PIDTerms= 2.552/ 0.000/-0.327/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.010/ 0.000/-0.014/ 0.000, Output=-0.004(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.061/ 0.000/ 0.000/ 0.000, Output= 0.061(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  13.7, Error=  71.3, PIDTerms= 2.496/ 0.000/-0.689/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.008/ 0.000/-0.005/ 0.000, Output= 0.003(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.011/ 0.000/-0.000/ 0.000, Output=-0.011(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  14.3, Error=  70.7, PIDTerms= 2.476/ 0.000/-0.264/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.007/ 0.000/-0.009/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/-0.000/ 0.000, Output=-0.015(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  15.3, Error=  69.7, PIDTerms= 2.439/ 0.000/-0.458/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.003/ 0.000/-0.016/ 0.000, Output=-0.013(-0.500/0.500), Volt=11.4 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.013/ 0.000/ 0.000/ 0.000, Output=-0.013(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  16.5, Error=  68.5, PIDTerms= 2.398/ 0.000/-0.738/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.001/ 0.000/-0.012/ 0.000, Output=-0.011(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.017/ 0.000/-0.000/ 0.000, Output=-0.017(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  17.7, Error=  67.3, PIDTerms= 2.356/ 0.000/-0.558/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.009/ 0.000, Output=-0.010(-0.500/0.500), Volt=11.5 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.021/ 0.000/ 0.000/ 0.000, Output= 0.021(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  18.6, Error=  66.4, PIDTerms= 2.324/ 0.000/-0.403/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/-0.008/ 0.000, Output=-0.012(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.018/ 0.000/-0.000/ 0.000, Output=-0.018(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  18.9, Error=  66.1, PIDTerms= 2.314/ 0.000/-0.143/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/ 0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.018/ 0.000/ 0.000/ 0.000, Output=-0.018(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  20.1, Error=  64.9, PIDTerms= 2.272/ 0.000/-0.575/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.003/ 0.000/ 0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.018/ 0.000/ 0.000/ 0.000, Output=-0.018(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  21.4, Error=  63.6, PIDTerms= 2.228/ 0.000/-0.546/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/ 0.003/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/ 0.000/ 0.000, Output=-0.015(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  22.6, Error=  62.4, PIDTerms= 2.183/ 0.000/-0.788/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/ 0.000/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.014/ 0.000/ 0.000/ 0.000, Output=-0.014(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  23.3, Error=  61.7, PIDTerms= 2.160/ 0.000/-0.192/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.007/ 0.000, Output= 0.007(-0.500/0.500), Volt=11.6 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/-0.000/ 0.000, Output=-0.015(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  25.3, Error=  59.7, PIDTerms= 2.091/ 0.000/-0.648/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=11.7 (10.8)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.010/ 0.000/ 0.000/ 0.000, Output=-0.010(-0.500/0.500), Volt=11.8 (10.8)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  26.6, Error=  58.4, PIDTerms= 2.043/ 0.000/-0.478/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.8 (10.8)
