FrcRobotBase.FirstSteamWorks_Info: Sun Apr 02 14:33:34 PDT 2017: ***** Starting autonomous *****
FrcRobotBase.CmdVisionGearDeploy_Info: dist=7.0, deployTime=0.3, backupDist=36.0
FrcRobotBase.CmdSideGearLift_Info: delay=0.000, alliance=RED_ALLIANCE, rightSide=false, forwardDist=85.0, liftAngle=60.0, backupDist=8.0, lsAngle=30.0, lsDist=320.0, diagDist=360.0
FrcRobotBase.Vision_Info: Front pixy is enabled!
FrcRobotBase.Robot_Info: [0.186]   DO_DELAY: xPos=  0.00,yPos=  0.00,heading=   0.0/   0.0,volts=13.0(13.1)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.startCompetition_Warn: AUTO_MODE takes too long (0.211s)

FrcRobotBase.Robot_Info: [0.211] MOVE_FORWARD_ON_SIDE: xPos= -0.01,yPos=  0.00,heading=   0.1/   0.0,volts=13.0(13.0)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.000/ 0.000, Output= 0.000(-0.500/0.500), Volt=13.0 (13.0)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   8.0, Error=  77.0, PIDTerms= 2.696/ 0.000/-0.281/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.024/ 0.000/ 0.010/ 0.000, Output= 0.034(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.026/ 0.000/-0.000/-0.000, Output= 0.026(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=   9.8, Error=  75.2, PIDTerms= 2.631/ 0.000/-0.405/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.029/ 0.000/ 0.009/ 0.000, Output= 0.038(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.048/ 0.000/ 0.000/-0.000, Output= 0.048(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  11.6, Error=  73.4, PIDTerms= 2.568/ 0.000/-0.433/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.4, Error=   0.4, PIDTerms= 0.026/ 0.000/-0.006/ 0.000, Output= 0.020(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.008/ 0.000/-0.000/-0.000, Output= 0.008(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  13.0, Error=  72.0, PIDTerms= 2.520/ 0.000/-0.373/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.020/ 0.000/-0.015/ 0.000, Output= 0.005(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.3, Error=   0.3, PIDTerms= 0.038/ 0.000/ 0.000/-0.000, Output= 0.038(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  15.0, Error=  70.0, PIDTerms= 2.452/ 0.000/-0.462/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.013/ 0.000/-0.016/ 0.000, Output=-0.003(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.003/ 0.000/-0.000/-0.000, Output=-0.003(-0.500/0.500), Volt=11.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  16.4, Error=  68.6, PIDTerms= 2.401/ 0.000/-0.319/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/-0.027/ 0.000, Output=-0.027(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.012/ 0.000/-0.000/-0.000, Output=-0.012(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  18.8, Error=  66.2, PIDTerms= 2.316/ 0.000/-0.652/ 0.000, Output= 0.500(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.005/ 0.000/-0.012/ 0.000, Output=-0.016(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.014/ 0.000/-0.000/-0.000, Output=-0.014(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  20.1, Error=  64.9, PIDTerms= 2.272/ 0.000/-0.301/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.009/ 0.000/-0.010/ 0.000, Output=-0.020(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.022/ 0.000/-0.000/-0.000, Output=-0.022(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  22.7, Error=  62.3, PIDTerms= 2.182/ 0.000/-0.698/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.007/ 0.000/ 0.005/ 0.000, Output=-0.002(-0.500/0.500), Volt=11.9 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.021/ 0.000/ 0.000/-0.000, Output=-0.021(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  24.0, Error=  61.0, PIDTerms= 2.135/ 0.000/-0.297/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.002/ 0.000/ 0.011/ 0.000, Output= 0.009(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.021/ 0.000/ 0.000/-0.000, Output=-0.021(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  26.8, Error=  58.2, PIDTerms= 2.038/ 0.000/-0.638/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.005/ 0.000/ 0.016/ 0.000, Output= 0.021(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.031/ 0.000/ 0.000/-0.000, Output= 0.031(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  29.2, Error=  55.8, PIDTerms= 1.952/ 0.000/-0.674/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.011/ 0.000/ 0.015/ 0.000, Output= 0.026(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/-0.000/-0.000, Output=-0.015(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  31.1, Error=  53.9, PIDTerms= 1.888/ 0.000/-0.405/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.014/ 0.000/ 0.006/ 0.000, Output= 0.019(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.020/ 0.000/-0.000/-0.000, Output=-0.020(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  34.0, Error=  51.0, PIDTerms= 1.786/ 0.000/-0.734/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.013/ 0.000/-0.002/ 0.000, Output= 0.011(-0.500/0.500), Volt=12.0 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.019/ 0.000/ 0.000/-0.000, Output=-0.019(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  35.5, Error=  49.5, PIDTerms= 1.732/ 0.000/-0.407/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.2, Error=   0.2, PIDTerms= 0.012/ 0.000/-0.002/ 0.000, Output= 0.011(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.017/ 0.000/ 0.000/-0.000, Output=-0.017(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  38.6, Error=  46.4, PIDTerms= 1.626/ 0.000/-0.733/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.009/ 0.000/-0.008/ 0.000, Output= 0.002(-0.500/0.500), Volt=12.1 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.015/ 0.000/ 0.000/-0.000, Output=-0.015(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  40.1, Error=  44.9, PIDTerms= 1.570/ 0.000/-0.357/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.1, Error=   0.1, PIDTerms= 0.004/ 0.000/-0.011/ 0.000, Output=-0.007(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.011/ 0.000/ 0.000/-0.000, Output=-0.011(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  43.3, Error=  41.7, PIDTerms= 1.460/ 0.000/-0.887/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.001/ 0.000/-0.007/ 0.000, Output=-0.006(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.010/ 0.000/ 0.000/-0.000, Output=-0.010(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  44.9, Error=  40.1, PIDTerms= 1.404/ 0.000/-0.383/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/-0.006/ 0.000, Output=-0.007(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.012/ 0.000/-0.000/-0.000, Output=-0.012(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  48.1, Error=  36.9, PIDTerms= 1.290/ 0.000/-0.871/ 0.000, Output= 0.419(-0.500/0.500), Volt=12.3 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.005/ 0.000/-0.008/ 0.000, Output=-0.013(-0.500/0.500), Volt=12.3 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=  -0.1, PIDTerms=-0.009/ 0.000/ 0.000/-0.000, Output=-0.009(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  49.8, Error=  35.2, PIDTerms= 1.233/ 0.000/-0.361/ 0.000, Output= 0.500(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.005/ 0.000/ 0.000/ 0.000, Output=-0.005(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.011/ 0.000/-0.000/-0.000, Output=-0.011(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  53.1, Error=  31.9, PIDTerms= 1.118/ 0.000/-0.826/ 0.000, Output= 0.292(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.1, Error=  -0.1, PIDTerms=-0.005/ 0.000/ 0.000/ 0.000, Output=-0.005(-0.500/0.500), Volt=12.2 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.007/ 0.000/ 0.000/-0.000, Output=-0.007(-0.500/0.500), Volt=12.8 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  55.6, Error=  29.4, PIDTerms= 1.031/ 0.000/-0.726/ 0.000, Output= 0.305(-0.500/0.500), Volt=12.8 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.001/ 0.000/ 0.009/ 0.000, Output= 0.008(-0.500/0.500), Volt=12.8 (11.2)
FrcRobotBase.PixyVision_Info: null object(s) found
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=  -0.1, PIDTerms=-0.009/ 0.000/-0.000/-0.000, Output=-0.009(-0.500/0.500), Volt=12.5 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  58.0, Error=  27.0, PIDTerms= 0.945/ 0.000/-0.474/ 0.000, Output= 0.471(-0.500/0.500), Volt=12.5 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=   0.0, Error=   0.0, PIDTerms= 0.000/ 0.000/ 0.002/ 0.000, Output= 0.002(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=   0.0, Error=  -0.0, PIDTerms=-0.006/ 0.000/ 0.000/-0.000, Output=-0.006(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderYPidCtrl: Target=  85.0, Input=  61.0, Error=  24.0, PIDTerms= 0.840/ 0.000/-0.599/ 0.000, Output= 0.241(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: gyroTurnPidCtrl: Target=   0.0, Input=  -0.0, Error=   0.0, PIDTerms= 0.001/ 0.000/ 0.001/ 0.000, Output= 0.002(-0.500/0.500), Volt=12.4 (11.2)
FrcRobotBase.printPidInfo_Info: encoderXPidCtrl: Target=  -0.0, Input=  -0.4, Error=   0.3, PIDTerms= 0.051/ 0.000/ 0.000/-0.000, Output= 0.051(-0.500/0.500), Volt=12.9 (11.2)
